region,code,id,title_id,name,type,game_title
Korea,ELAS,10396,ELAS10396,Dragon Ball Z: Kakarot,,Dragon Ball Z: Kakarot 
Asia,ELAS,10397,ELAS10397,Dragon Ball Z: Kakarot,,Dragon Ball Z: Kakarot 
Korea,ELAS,10782,ELAS10782,Dragon Ball Z: Sparking! Zero,,Dragon Ball Z: Sparking! Zero 
Korea,ELAS,10812,ELAS10812,Dragon Quest III: HD-2D Remake,,Dragon Quest III: HD-2D Remake 
Korea,ELAS,10655,ELAS10655,Dragon's Dogma II,,Dragon's Dogma II 
Asia,ELAS,10333,ELAS10333,DreadOut 2,,DreadOut 2 
Asia,ELAS,10275,ELAS10275,Dungeon Munchies,,Dungeon Munchies 
Korea,ELAS,10190,ELAS10190,Dying Light 2: Stay Human,,Dying Light 2: Stay Human 
Asia,ELAS,10191,ELAS10191,Dying Light 2: Stay Human,,Dying Light 2: Stay Human 
Korea,ELAS,10907,ELAS10907,Dynasty Warriors: Origins,,Dynasty Warriors: Origins 
Korea,ELAS,10513,ELAS10513,EA Sports FC 24,,EA Sports FC 24 
Korea,ELAS,10622,ELAS10622,Earth Defense Forces 6,,Earth Defense Forces 6 
Asia,ELAS,10421,ELAS10421,Eiyuden Chronicle: Rising,,Eiyuden Chronicle: Rising 
Asia,ELAS,10195,ELAS10195,Elden Ring,,Elden Ring 
Asia,ELAS,10195,ELAS10195,Elden Ring,,Elden Ring 
Korea,ELAS,10197,ELAS10197,Elden Ring,,Elden Ring 
Asia,ELAS,10203,ELAS10203,Elden Ring,,Elden Ring 
Asia,ELAS,10203,ELAS10203,Elden Ring,,Elden Ring 
Korea,ELAS,10692,ELAS10692,Elden Ring,,Elden Ring 
Korea,ELAS,10956,ELAS10956,Elden Ring: Nightreign,,Elden Ring: Nightreign 
Korea,ELAS,11051,ELAS11051,Everybody's Golf World,,Everybody's Golf World 
Korea,ELAS,10321,ELAS10321,Evil Dead: The Game,,Evil Dead: The Game 
Asia,ELAS,10307,ELAS10307,Evil West,,Evil West 
Korea,ELAS,10493,ELAS10493,Exoprimal,,Exoprimal 
Asia,ELAS,10494,ELAS10494,Exoprimal,,Exoprimal 
Korea,ELAS,10962,ELAS10962,Expedition 33,,Expedition 33 
Asia,ELAS,10122,ELAS10122,F.I.S.T.: Forged In Shadow Torch,,F.I.S.T.: Forged In Shadow Torch 
Asia,ELAS,10109,ELAS10109,F1 2021,,F1 2021 
Asia,ELAS,10427,ELAS10427,Fairy Fencer F: Refrain Chord,,Fairy Fencer F: Refrain Chord 
Korea,ELAS,10459,ELAS10459,Fairy Fencer F: Refrain Chord,,Fairy Fencer F: Refrain Chord 
Korea,ELAS,10270,ELAS10270,Fallen Legion: Rise to Glory,,Fallen Legion: Rise to Glory 
Asia,ELAS,10270,ELAS10270,Fallen Legion: Rise to Glory,,Fallen Legion: Rise to Glory 
Asia,ELAS,10138,ELAS10138,Far Cry 6,,Far Cry 6 
Korea,ELAS,10141,ELAS10141,Far Cry 6,,Far Cry 6 
Korea,ELAS,10143,ELAS10143,Far Cry 6,,Far Cry 6 
Asia,ELAS,10145,ELAS10145,Far Cry 6,,Far Cry 6 
Asia,ELAS,10117,ELAS10117,Farm For Your Life,,Farm For Your Life 
Korea,ELAS,10830,ELAS10830,Farmagia,,Farmagia 
Korea,ELAS,10832,ELAS10832,Farming Simulator 25,,Farming Simulator 25 
Korea,ELAS,10932,ELAS10932,Fatal Fury: CIty of the Wolves: Special Edition,,Fatal Fury: CIty of the Wolves: Special Edition 
Asia,ELAS,10507,ELAS10507,Fate/Samurai Remnant,,Fate/Samurai Remnant 
Korea,ELAS,11039,ELAS11039,FC 26,,FC 26 
Korea,ELAS,10763,ELAS10763,FC25,,FC25 
Asia,ELAS,10051,ELAS10051,FIFA 21,,FIFA 21 
Korea,ELAS,10051,ELAS10051,FIFA 21,,FIFA 21 
Korea,ELAS,10110,ELAS10110,FIFA 22,,FIFA 22 
Asia,ELAS,10110,ELAS10110,FIFA 22,,FIFA 22 
Korea,ELAS,10294,ELAS10294,FIFA 23,,FIFA 23 
Asia,ELAS,10294,ELAS10294,FIFA 23,,FIFA 23 
Asia,ELAS,10641,ELAS10641,Final Fantasy VII Rebirth,,Final Fantasy VII Rebirth 
Asia,ELAS,10641,ELAS10641,Final Fantasy VII Rebirth,,Final Fantasy VII Rebirth 
Asia,ELAS,10641,ELAS10641,Final Fantasy VII Rebirth,,Final Fantasy VII Rebirth 
Korea,ELAS,10645,ELAS10645,Final Fantasy VII Rebirth,,Final Fantasy VII Rebirth 
Korea,ELAS,10094,ELAS10094,Final Fantasy VII Remake Intergrade,,Final Fantasy VII Remake Intergrade 
Asia,ELAS,10095,ELAS10095,Final Fantasy VII Remake Intergrade,,Final Fantasy VII Remake Intergrade 
Asia,ELAS,10097,ELAS10097,Final Fantasy VII Remake Intergrade,,Final Fantasy VII Remake Intergrade 
Asia,ECAS,00053,ECAS00053,Final Fantasy XVI,,Final Fantasy XVI 
Asia,ECAS,00053,ECAS00053,Final Fantasy XVI,,Final Fantasy XVI 
Korea,ECAS,00052,ECAS00052,Final Fantasy XVI,,Final Fantasy XVI 
Asia,ECAS,00053,ECAS00053,Final Fantasy XVI,Collector's,Final Fantasy XVI Collector's
Korea,ECAS,00052,ECAS00052,Final Fantasy XVI,Collector's,Final Fantasy XVI Collector's
Asia,ECAS,00053,ECAS00053,Final Fantasy XVI,Deluxe,Final Fantasy XVI Deluxe
Asia,ELAS,10252,ELAS10252,Final Vendetta,,Final Vendetta 
Korea,ELAS,10252,ELAS10252,Final Vendetta,,Final Vendetta 
Korea,ELAS,11089,ELAS11089,Football Manager 26: Console,,Football Manager 26: Console 
Korea,ELAS,10587,ELAS10587,Football Manager Console 2024,,Football Manager Console 2024 
Korea,ELAS,10240,ELAS10240,Forspoken,,Forspoken 
Asia,ELAS,10241,ELAS10241,Forspoken,,Forspoken 
Asia,ELAS,10242,ELAS10242,Forspoken,,Forspoken 
Korea,ECAS,00065,ECAS00065,Ghost of Tsushima: Director's Cut,,Ghost of Tsushima: Director's Cut 
Korea,ECAS,00029,ECAS00029,Ghost of Tsushima: Director's Cut,,Ghost of Tsushima: Director's Cut 
Asia,ECAS,00028,ECAS00028,Ghost of Tsushima: Director's Cut,,Ghost of Tsushima: Director's Cut 
Korea,ECAS,00121,ECAS00121,Ghost of Yotei,,Ghost of Yotei 
Asia,ECAS,00120,ECAS00120,Ghost of Yotei,,Ghost of Yotei 
Asia,ECAS,00119,ECAS00119,Ghost of Yotei,,Ghost of Yotei 
Asia,ECAS,00120,ECAS00120,Ghost of Yotei,Collector's Edition,Ghost of Yotei Collector's Edition
Asia,ELAS,10223,ELAS10223,Ghostwire: Tokyo,,Ghostwire: Tokyo 
Korea,ELAS,10224,ELAS10224,Ghostwire: Tokyo,,Ghostwire: Tokyo 
Asia,ELAS,10318,ELAS10318,Gloom and Doom,,Gloom and Doom 
