title_id,game_title,region,version,url,content_id,platform,distribution,content_type
GUST00003,ATELIER IRIS - ETERNAL MANA [PREMIUM BOX],JP,1.00,,GUST-00003,PS2,DISC,GAME
GUST00004,Atelier Iris - Eternal Mana 2 (Premium Box),JP,1.00,,GUST-00004,PS2,DISC,GAME
GUST00005,ATELIER LILIE PLUS - LILIE NO ATELIER PLUS - SALBERG NO RENKINJUTSUSHI 3 [LIMITED EDITION],JP,1.00,,GUST-00005,PS2,DISC,GAME
GUST00006,Atelier Marie + Elie -Salburg no Renkinjutsushi 1 & 2 (Premium Box),JP,1.00,,GUST-00006,PS2,DISC,GAME
GUST00009,Mana-Khemia - Gakuen no Renkinjutsushi-tachi,JP,1.00,,GUST-00009,PS2,DISC,GAME
GUST00010,Mana-Khemia 2 - Ochita Gakuen to Renkinjutsushi-tachi (Premium Box),JP,1.00,,GUST-00010,PS2,DISC,GAME
GWS0001,KYUUKETSU KITAN MOONTIES [LIMITED EDITION],JP,1.00,,GWS-0001,PS2,DISC,GAME
GWS0007,NADEPRO!! KISAMA NO SEIYUU YATTE MIRO! [LIMITED EDITION],JP,1.00,,GWS-0007,PS2,DISC,GAME
HAKU00801,HAKUOKI - TWIN PACK,JP,1.00,,HAKU-00801,PS2,DISC,GAME
HKHS01002,Hiiro no Kakera Twin Pack,JP,1.00,,HKHS-01002,PS2,DISC,GAME
HKID00418,Hiiro no Kakera - Ano Sora no Shita de,JP,1.00,,HKID-00418,PS2,DISC,GAME
HSN0002,SAKURA TAISEN - ATSUKI CHISHIO NI [PREMIUM EDITION],JP,1.00,,HSN-0002,PS2,DISC,GAME
HSN0003,SAKURA TAISEN - ATSUKI CHISHIO NI [FIRST PRINT LIMITED EDITION],JP,1.00,,HSN-0003,PS2,DISC,GAME
HSN0005,THE TYPING OF THE DEAD - ZOMBIE PANIC [WITH KEYBOARD],JP,1.00,,HSN-0005,PS2,DISC,GAME
HSN0006,Sakura Taisen V - Saraba Itoshiki Hito Yo (Showtime Box),JP,1.00,,HSN-0006,PS2,DISC,GAME
HSN0008,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,JP,1.00,,HSN0-008,PS2,DISC,GAME
HSN0010,APPLESEED EX [LIMITED BOX],JP,1.00,,HSN-0010,PS2,DISC,GAME
HSN0012,Seaman 2 - Peking Genjin Ikusei Kit (With Microphone),JP,1.00,,HSN-0012,PS2,DISC,GAME
HSN0013,NIGHTS INTO DREAMS [NIGHTOPIA DREAM PACK],JP,1.00,,HSN-0013,PS2,DISC,GAME
IIDX16COMP,Beatmania IIDX - 16 - Empress + Premium Best [Konamystyle Special Edition],JP,1.00,,IIDX16COMP,PS2,DISC,GAME
IIDX16SP,Beatmania IIDX - 16 - Empress + Premium Best [Konamystyle Special Edition],JP,1.00,,IIDX16SP,PS2,DISC,GAME
INCH0001,SOUL LINK EXTENSION [LIMITED EDITION],JP,1.00,,INCH-0001,PS2,DISC,GAME
INCH0002,TEIKOKU SENSENKI [BEST VERSION WITH DRAMA CD],JP,1.00,,INCH-0002,PS2,DISC,GAME
INCH0003,INTERLUDE [BEST VERSION PANDORA BOX],JP,1.00,,INCH-0003,PS2,DISC,GAME
INCH0004,SCHOOL DAYS LXH [FIRST PRINT LIMITED EDITION],JP,1.00,,INCH-0004,PS2,DISC,GAME
JALE20003,DREAM AUDITION [LIMITED EDITION],JP,1.00,,JALE-20003,PS2,DISC,GAME
KAD003,H2O+ - FOOTPRINTS IN THE SAND [DX PACK],JP,1.00,,KAD-003,PS2,DISC,GAME
KAD006,REAL RODE [KIRA KIRA BOX],JP,1.00,,KAD-006,PS2,DISC,GAME
KAD008,TOUKA GETTAN - KOUFUU NO RYOUOU [DELUXE PACK],JP,1.00,,KAD-008,PS2,DISC,GAME
KAD009,Lucky Star - Net Idol Meister,JP,1.00,,KAD0-09,PS2,DISC,GAME
KAD019,URAGIRI WA BOKU NO NAMAE O SHITTEIRU [DELUXE PACK],JP,1.00,,KAD-019,PS2,DISC,GAME
KCS3001,Shin Sangoku Musou 3 (Treasure Box) [4 DISCS],JP,1.00,,KCS-3001,PS2,DISC,GAME
KCS3002,Shin Sangoku Musou 3 (Treasure Box) [4 DISCS],JP,1.00,,KCS-3002,PS2,DISC,GAME
KOEI00005,Shin Sangoku Musou 3 - Moushouden & Kessen II & Sangokushi VIII Super Value Set [3 DISCS],JP,1.00,,KOEI-00005,PS2,DISC,GAME
KOEI00006,Sengoku Musou,JP,1.00,,KOEI-00006,PS2,DISC,GAME
KOEI00008,Shin Sangoku Musou 3 - Empires & Moushouden Premium Box [3 DISCS],JP,1.00,,KOEI-00008,PS2,DISC,GAME
KOEI00009,Shin Sangoku Musou 3 (Super Premium Box) [4 DISCS],JP,1.00,,KOEI-00009,PS2,DISC,GAME
KOEI00011,Sengoku Musou (Excellent Box),JP,1.00,,KOEI-00011,PS2,DISC,GAME
