GameId	Region	GameTitle	URL
SLES00228	DE	Resident Evil	
SLES00246	DE	Alien Trilogy	
SLES00253	DE	Firo & Klawd	
SLES00306	DE	Blazing Dragons	
SLES00351	DE	Blam! Machinehead	
SLES00375	DE	MechWarrior 2 - Kampfspiel des 31. Jahrhunderts	
SLES00440	DE	Andretti Racing	
SLES00463	DE	Heart of Darkness	
SLES00486	DE	Tomb Raider	
SLES00506	DE	FIFA 97	
SLES00509	DE	Soviet Strike	
SLES00512	DE	NHL '98	
SLES00523	DE	Blood Omen - Legacy of Kain	
SLES00532	DE	Command & Conquer - Teil 1 - Der Tiberiumkonflikt	
SLES00533	DE	NHL 97	
SLES00565	DE	Disruptor	
SLES00574	DE	Stadt der verlorenen Kinder, Die	
SLES00584	DE	Star Wars - Rebel Assault II - The Hidden Empire	
SLES00586	DE	Herc's Adventures	
SLES00589	DE	Crusader - No Remorse	
SLES00592	DE	BallBlazer Champions	
SLES00615	DE	Lifeforce Tenka	
SLES00661	DE	Wing Commander IV - The Price of Freedom	
SLES00682	DE	Spider - The Video Game	
SLES00686	DE	Perfect Weapon	
SLES00720	DE	Tomb Raider II - Starring Lara Croft	
SLES00758	DE	Ninja - Shadow of Darkness	
SLES00770	DE	OverBlood	
SLES00788	DE	Magic - The Gathering - BattleMage	
SLES00795	DE	Discworld II - Vermutlich vermisst	
SLES00813	DE	Xenocracy - The Ultimate Solar War	
SLES00831	DE	Machine Hunter	
SLES00835	DE	Apocalypse	
SLES00837	DE	Pitfall 3D - Beyond the Jungle	
SLES00839	DE	Oddworld - Abe's Oddysse	
SLES00852	DE	Hard Boiled	
SLES00854	DE	G-Police	
SLES00862	DE	Colony Wars	
SLES00872	DE	Clock Tower	
SLES00880	DE	NASCAR 98	
SLES00916	DE	FIFA - Die WM-Qualifikation 98	
SLES00921	DE	Nuclear Strike	
SLES00924	DE	ReBoot	
SLES00962	DE	Broken Helix	
SLES00971	DE	Resident Evil - Director's Cut	
SLES00974	DE	Resident Evil 2	
SLES01007	DE	Command & Conquer - Alarmstufe Rot	
SLES01029	DE	Actua Soccer 2	
SLES01062	DE	Kick Off World	
SLES01087	DE	Forsaken	
SLES01092	DE	Skullmonkeys	
SLES01100	DE	Riven - The Sequel to Myst	
SLES01158	DE	Road Rash 3D	
SLES01164	DE	Hugo	
SLES01167	DE	World League Soccer '98	
SLES01200	DE	Men in Black - The Game	
SLES01214	DE	Vigilante 8	
SLES01216	DE	CBZ - CyBall Zone	
SLES01256	DE	Alundra	
SLES01274	DE	Blaze & Blade - Eternal Quest	
SLES01320	DE	Breath of Fire III	
SLES01345	DE	Command & Conquer - Alarmstufe Rot - Gegenschlag	
SLES01406	DE	Colony Wars - Vengeance	
SLES01410	DE	O.D.T.	
SLES01423	DE	Global Domination	
SLES01451	DE	Box-Champions	
SLES01453	DE	NASCAR 99	
SLES01455	DE	NBA Live 99	
SLES01458	DE	NHL 99	
SLES01469	DE	Asteroids	
SLES01473	DE	T'ai Fu - Die Rache des Tigers	
SLES01482	DE	Future Cop - L.A.P.D.	
SLES01503	DE	Oddworld - Abe's Exoddus	
SLES01507	DE	Metal Gear Solid	
SLES01550	DE	B-Movie	
SLES01567	DE	X-Files, The	
SLES01582	DE	Small Soldiers	
SLES01598	DE	Egypt 1156 B.C. - Das Grab Des Pharao	
SLES01603	DE	Atlantis - Das sagenhafte Abenteuer	
SLES01617	DE	KKND Krossfire	
SLES01626	DE	Swing	
SLES01645	DE	Actua Soccer 3	
SLES01665	DE	Racing Simulation 2	
SLES01670	DE	Nickelodeon Rugrats - Auf der Suche nach Reptar	
SLES01683	DE	Tomb Raider III - Adventures of Lara Croft	
SLES01730	DE	Versailles - Verschwoerung am Hof	
SLES01743	DE	Warzone 2100	
SLES01745	DE	UEFA Champions League - Saison 1998-99	
SLES01766	DE	Player Manager Ninety Nine	
SLES01796	DE	Civilization II	
SLES01800	DE	Guardian's Crusade	
SLES01807	DE	Hugo 2	
SLES01916	DE	Sports Car GT	
SLES01925	DE	Driver	
SLES01939	DE	Ruff & Tumble	
SLES01975	DE	Driver	
SLES01984	DE	Jeff Wayne's The War of the Worlds	
SLES02025	DE	Legacy of Kain - Soul Reaver	
SLES02036	DE	Star Wars - Episode I - Die dunkle Bedrohung	
SLES02064	DE	Discworld Noir	
SLES02082	DE	Final Fantasy VIII	
SLES02118	DE	SaGa Frontier 2	
SLES02140	DE	R-C Stunt Copter	
SLES02143	DE	Bundesliga Stars 2000	
SLES02161	DE	Star Ocean - The Second Story	
SLES02168	DE	Fear Effect	
SLES02172	DE	Wu-Tang - Shaolin Style	
SLES02187	DE	OverBlood 2	
SLES02203	DE	Jade Cocoon - Die Tamamayu Legende	
SLES02209	DE	Dino Crisis	
SLES02227	DE	NHL 2000	
SLES02235	DE	Fighting Force 2	
SLES02240	DE	Tomb Raider IV - The Last Revelation	
SLES02249	DE	Dune 2000	
SLES02267	DE	Xena - Warrior Princess	
SLES02282	DE	Shadow Man - Rette deine Seele	
SLES02295	DE	Verrat in der Verbotenen Stadt	
SLES02317	DE	FIFA 2000	
SLES02324	DE	Box Champions 2000	
SLES02330	DE	Galerians	
SLES02331	DE	Worms Armageddon	
SLES02341	DE	Autobahn Raser II	
SLES02348	DE	Amerzone - Das Testament des Forschungsreisenden	
SLES02355	DE	Urban Chaos	
SLES02360	DE	NBA Live 2000	
SLES02372	DE	Tom Clancy's Rainbow Six	
SLES02376	DE	007 - Der Morgen Stirbt Nie	
SLES02399	DE	Grandia	
SLES02406	DE	Disney-Pixar Toy Story 2 - Buzz Lightyear eilt zur Hilfe!	
SLES02441	DE	GZSZ Vol. 2	
SLES02444	DE	Suikoden II	
SLES02463	DE	Tenchu 2 - Birth of the Stealth Assassins	
SLES02472	DE	Medal of Honor	
SLES02523	DE	Nickelodeon Rugrats - Studio Tour	
SLES02531	DE	Resident Evil 3 - Nemesis	
SLES02560	DE	Parasite Eve II	
SLES02563	DE	Anstoss - Premier Manager	
SLES02564	DE	Bundesliga 2000 - Der Fussball-Manager	
SLES02566	DE	Dragon Valor	
SLES02579	DE	UEFA Champions League - Season 1999-2000	
SLES02584	DE	Crusaders of Might and Magic	
SLES02602	DE	Alundra 2 - Der Beginn einer neuen Legende	
SLES02609	DE	Star Wars - Episode I - Jedi Power Battles	
SLES02613	DE	Player Manager 2000	
