GameId	Region	GameTitle	PKG direct link
NPUH10022	US	Dynasty Warriors Vol. 2	http://zeus.dl.playstation.net/cdn/UP0106/NPUH10022_00/esFkaCB6LGr8MglI1oq0hsj2c4KcAlcxBE5fLCi29tYERPaPIg8QnsLlFEjhLSfdgNmeqac3mH9bo6ec56uIRmAcltEypSwsmhys1.pkg
NPUH10023	US	Armored Core 3 Portable	http://zeus.dl.playstation.net/cdn/UP0506/NPUH10023_00/qsiula27j8iBNig71nLABmt6YVigXh2BGxQBboTOkIOGs7TfYj4N7Y6g3DdT07sQ4YhV6MeAKredKNgMU4DhogiE2nDtIadvlKxQI.pkg
NPUH10024	US	Armored Core: Last Raven Portable	http://zeus.dl.playstation.net/cdn/UP0506/NPUH10024_00/BWsjwebOjYgmS3eVd37WjvCQiMcDd0NB4It0GtTLQvYTiBGM59ajkdaUUUXpVkehyc3t4BYesF8aOIvVO1Q5DsCjM95Xw4VIhCPxQ.pkg
NPUH10025	US	Armored Core: Silent Line Portable	http://zeus.dl.playstation.net/cdn/UP0506/NPUH10025_00/16Ra8dL8VTc1KkFtLu7LI9UYcVuOEgAERk5EDmaXp14rQIbub3DskxBaDYEMqq6jn3fifqPMiA4XReTOFswqdq6XMtmVEr6XRu20E.pkg
NPUH10026	US	Crystal Defenders	http://zeus.dl.playstation.net/cdn/UP0082/NPUH10026_00/rmtW0ymLyIXq7qijtSUKfJgunUcAfXRpTVdwhiBTIdCB9KsHQe1L7yfUUJ7rKHh022QU7TuKHdfb7VX1CVFxeuhPpygSEPSqP926N.pkg
NPUH10027	US	UNO	http://zeus.dl.playstation.net/cdn/UP2006/NPUH10027_00/9tEKEx9jJKkwcGLQOaLho4t2furOG9GiX5iBSAhR9TlKaVivU01yUNaBPMyR5nNqJ6hQKGbsIB4GOb4u8dRNE9aB2eEIRnmVFqwmM.pkg
NPUH10028	US	Super Pocket Tennis	http://zeus.dl.playstation.net/cdn/UP0367/NPUH10028_00/bGf1amK2IWVBkVRqhcVHqfUEb4SkLv14hf9gMII9NctWOhGCFBtCMPPTfl4GTm4P61gs73eBer4p2isVBN89g6S8kUgTXfrfucej5.pkg
NPUH10029	US	Beta Bloc	http://zeus.dl.playstation.net/cdn/UP0367/NPUH10029_00/uRbR5jGT8yVTH8sLe6DL3033c9vaK7sddpHHln4diXTlxgdYyhqeH0wQb8lxwWuLoXx2Qf1r7RVvmeEnQaRKnjaFNwQSjvt8sAgul.pkg
NPUH10031	US	Cho Aniki Zero	http://zeus.dl.playstation.net/cdn/UP1024/NPUH10031_00/lonuWE6fU0RFsq8vU2PxspJnHHTP0CQx1EE2GjeHeTDTaeJqUTwNrGeA8kUDTGYA63Sf073cxrxKRPs9wMQWwMNcnPXmXYBWKQA13.pkg
NPUH10036	US	Football Manager Handheld 2010	MISSING
