GameId	Region	GameTitle	URL	Eboot	Icon0	ParamSfo	Pic1	Snd0	Have
BLUS30115	US	Condemned 2: Bloodshot		games/Condemned 2: Bloodshot [BLUS30115]/PS3_GAME/USRDIR/EBOOT.BIN	games/Condemned 2: Bloodshot [BLUS30115]/PS3_GAME/ICON0.PNG	games/Condemned 2: Bloodshot [BLUS30115]/PS3_GAME/PARAM.SFO	games/Condemned 2: Bloodshot [BLUS30115]/PS3_GAME/PIC1.PNG	games/Condemned 2: Bloodshot [BLUS30115]/PS3_GAME/SND0.AT3	0
BLUS30117	US	Dragon Ball Z: Burst Limit		games/Dragon Ball Z: Burst Limit [BLUS30117]/PS3_GAME/USRDIR/EBOOT.BIN	games/Dragon Ball Z: Burst Limit [BLUS30117]/PS3_GAME/ICON0.PNG	games/Dragon Ball Z: Burst Limit [BLUS30117]/PS3_GAME/PARAM.SFO	games/Dragon Ball Z: Burst Limit [BLUS30117]/PS3_GAME/PIC1.PNG	games/Dragon Ball Z: Burst Limit [BLUS30117]/PS3_GAME/SND0.AT3	0
BLUS30118	US	Battlefield: Bad Company		games/Battlefield: Bad Company [BLUS30118]/PS3_GAME/USRDIR/EBOOT.BIN	games/Battlefield: Bad Company [BLUS30118]/PS3_GAME/ICON0.PNG	games/Battlefield: Bad Company [BLUS30118]/PS3_GAME/PARAM.SFO	games/Battlefield: Bad Company [BLUS30118]/PS3_GAME/PIC1.PNG	games/Battlefield: Bad Company [BLUS30118]/PS3_GAME/SND0.AT3	0
BLUS30119	US	Turning Point: Fall of Liberty		games/Turning Point: Fall of Liberty [BLUS30119]/PS3_GAME/USRDIR/EBOOT.BIN	games/Turning Point: Fall of Liberty [BLUS30119]/PS3_GAME/ICON0.PNG	games/Turning Point: Fall of Liberty [BLUS30119]/PS3_GAME/PARAM.SFO	games/Turning Point: Fall of Liberty [BLUS30119]/PS3_GAME/PIC1.PNG	games/Turning Point: Fall of Liberty [BLUS30119]/PS3_GAME/SND0.AT3	0
BLUS30120	US	Lost: Via Domus		games/Lost: Via Domus [BLUS30120]/PS3_GAME/USRDIR/EBOOT.BIN	games/Lost: Via Domus [BLUS30120]/PS3_GAME/ICON0.PNG	games/Lost: Via Domus [BLUS30120]/PS3_GAME/PARAM.SFO	games/Lost: Via Domus [BLUS30120]/PS3_GAME/PIC1.PNG	games/Lost: Via Domus [BLUS30120]/PS3_GAME/SND0.AT3	0
BLUS30121	US	Battlefield: Bad Company (Gold Edition)		games/Battlefield: Bad Company (Gold Edition) [BLUS30121]/PS3_GAME/USRDIR/EBOOT.BIN	games/Battlefield: Bad Company (Gold Edition) [BLUS30121]/PS3_GAME/ICON0.PNG	games/Battlefield: Bad Company (Gold Edition) [BLUS30121]/PS3_GAME/PARAM.SFO	games/Battlefield: Bad Company (Gold Edition) [BLUS30121]/PS3_GAME/PIC1.PNG	games/Battlefield: Bad Company (Gold Edition) [BLUS30121]/PS3_GAME/SND0.AT3	0
BLUS30124	US	Devil May Cry 4 (Collector's Edition)		games/Devil May Cry 4 (Collector's Edition) [BLUS30124]/PS3_GAME/USRDIR/EBOOT.BIN	games/Devil May Cry 4 (Collector's Edition) [BLUS30124]/PS3_GAME/ICON0.PNG	games/Devil May Cry 4 (Collector's Edition) [BLUS30124]/PS3_GAME/PARAM.SFO	games/Devil May Cry 4 (Collector's Edition) [BLUS30124]/PS3_GAME/PIC1.PNG	games/Devil May Cry 4 (Collector's Edition) [BLUS30124]/PS3_GAME/SND0.AT3	0
BLUS30125	US	Tom Clancy's Rainbow Six: Vegas 2		games/Tom Clancy's Rainbow Six: Vegas 2 [BLUS30125]/PS3_GAME/USRDIR/EBOOT.BIN	games/Tom Clancy's Rainbow Six: Vegas 2 [BLUS30125]/PS3_GAME/ICON0.PNG	games/Tom Clancy's Rainbow Six: Vegas 2 [BLUS30125]/PS3_GAME/PARAM.SFO	games/Tom Clancy's Rainbow Six: Vegas 2 [BLUS30125]/PS3_GAME/PIC1.PNG	games/Tom Clancy's Rainbow Six: Vegas 2 [BLUS30125]/PS3_GAME/SND0.AT3	0
BLUS30126	US	Vampire Rain: Altered Species		games/Vampire Rain: Altered Species [BLUS30126]/PS3_GAME/USRDIR/EBOOT.BIN	games/Vampire Rain: Altered Species [BLUS30126]/PS3_GAME/ICON0.PNG	games/Vampire Rain: Altered Species [BLUS30126]/PS3_GAME/PARAM.SFO	games/Vampire Rain: Altered Species [BLUS30126]/PS3_GAME/PIC1.PNG	games/Vampire Rain: Altered Species [BLUS30126]/PS3_GAME/SND0.AT3	0
BLUS30128	US	NFL Head Coach '09		games/NFL Head Coach '09 [BLUS30128]/PS3_GAME/USRDIR/EBOOT.BIN	games/NFL Head Coach '09 [BLUS30128]/PS3_GAME/ICON0.PNG	games/NFL Head Coach '09 [BLUS30128]/PS3_GAME/PARAM.SFO	games/NFL Head Coach '09 [BLUS30128]/PS3_GAME/PIC1.PNG	games/NFL Head Coach '09 [BLUS30128]/PS3_GAME/SND0.AT3	0
BLUS30130	US	Sid Meier's Civilization Revolution		games/Sid Meier's Civilization Revolution [BLUS30130]/PS3_GAME/USRDIR/EBOOT.BIN	games/Sid Meier's Civilization Revolution [BLUS30130]/PS3_GAME/ICON0.PNG	games/Sid Meier's Civilization Revolution [BLUS30130]/PS3_GAME/PARAM.SFO	games/Sid Meier's Civilization Revolution [BLUS30130]/PS3_GAME/PIC1.PNG	games/Sid Meier's Civilization Revolution [BLUS30130]/PS3_GAME/SND0.AT3	0
BLUS30131	US	Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition)		games/Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition) [BLUS30131]/PS3_GAME/USRDIR/EBOOT.BIN	games/Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition) [BLUS30131]/PS3_GAME/ICON0.PNG	games/Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition) [BLUS30131]/PS3_GAME/PARAM.SFO	games/Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition) [BLUS30131]/PS3_GAME/PIC1.PNG	games/Tom Clancy's Rainbow Six: Vegas 2 (Limited Edition) [BLUS30131]/PS3_GAME/SND0.AT3	0
BLUS30133	US	Guitar Hero: Aerosmith		games/Guitar Hero: Aerosmith [BLUS30133]/PS3_GAME/USRDIR/EBOOT.BIN	games/Guitar Hero: Aerosmith [BLUS30133]/PS3_GAME/ICON0.PNG	games/Guitar Hero: Aerosmith [BLUS30133]/PS3_GAME/PARAM.SFO	games/Guitar Hero: Aerosmith [BLUS30133]/PS3_GAME/PIC1.PNG	games/Guitar Hero: Aerosmith [BLUS30133]/PS3_GAME/SND0.AT3	0
