type,title_id,game_title,region,update,license,url,content_id
PSN,PCSB00116,The Pinball Arcade,EU,1.28,KO5ifR1dQ+e7BhgZmFpAVRsamoHsd3f0dTVAshOf/05Xlbyd7b/kJR/LggrhjM+DPTqYR3p6BAAm3hN2,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00116/PCSB00116_T40/a62b84518ceeb99d/EP2058-PCSB00116_00-GAME000000000001-A0128-V0100-7917c0fe9fe33800c585874af94ca915dee79278-PE.pkg,/EP2058-PCSB00116_00-GAME000000000001-A0128-V010
CARD,PCSB00125,LEGO The Lord of the Rings,EU,1.01,KO5ifR1dQ+e7BhgaGFpAVRsamYLs93F19/fxD3LxdwvxcA3yc8fnPyfxlhktMSuY6yT+NH9aK8tGWWixbBhNMbQFAA+wFJ4A,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00125/PCSB00125_T1/940c734460ccd612/EP1018-PCSB00125_00-LEGOLORDOFTHERNG-A0101-V0100-779114441f6d73a463ee2c26f6e69a2c5c76cfce-PE.pkg,EP1018-PCSB00125_00-LEGOLORDOFTHERNG-A0101-V0100
PSN,PCSB00136,Jet Set Radio,EU,1.01,KO5ifR1dQ+e7BhgYmptDVRsam4Hs93INCXYNCXJ08fR3cfX1N8Dnv7NXMrnfXG+cvfrh2imngrfEDfLoYB7p6REAEewW6wAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00136/PCSB00136_T0/304bb75426c6c67d/EP0177-PCSB00136_00-JETSETRADIODEMO0-A0101-V0100-aacb5872c8bfcdf8d2285a0e1a76da69657f0fa9-PE.pkg,EP0177-PCSB00136_00-JETSETRADIODEMO0-A0101-V0100
CARD,PCSB00144,Street Fighter X Tekken,EU,1.08,KO5ifR1dQ+e7BhgYQmwBqjY0MQHZH+wWEeLu6OvqGgqxFJ//TCLKE15t5/yZf+ltX8uJnADKQotlw2iKoS0AACO7Fe8A,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00144/PCSB00144_T11/09739184e4cca192/EP0102-PCSB00144_00-SFXTGAMEEU000000-A0108-V0100-3d4857132e22c273489fe5dbb73bbd4ff43409b5-PE.pkg,/EP0102-PCSB00144_00-SFXTGAMEEU000000-A0108-V010
PSN,PCSB00160,Foosball 2012,EU,1.01,KO5ifR1dg/J5YXzXABNDU0OoakMzsP1u/v7BTo4+PkYGhkZhniGO+PynbfDs/jO+6Qqzc3dzlmxc+3CQRwfzSE+PANPtFQEA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00160/PCSB00160_T0/ec18d52f2f617cae/EP4151-PCSB00160_00-FOOSBALL2012VITA-A0101-V0100-5f45d79825c568386e1376e3d9ed06a546e36e53-PE.pkg,EP4151-PCSB00160_00-FOOSBALL2012VITA-A0101-V0100
PSN,PCSB00168,Big Sky: Infinity,EU,1.02,KO5ifR1dg/J5YXzXABNjY3OoakMzC5D9oU6e7sHekZ5+bhA78flv+d3fMj3dcuGzVm27FVz1Qn+QRwfzSE+PAJj0FXUA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00168/PCSB00168_T0/44c52fed963cbc41/EP4337-PCSB00168_00-UBIGSKYINF000001-A0102-V0100-a0233b9e344a9bba57d15580ad2d479d40dbfbdf-PE.pkg,EP4337-PCSB00168_00-UBIGSKYINF000001-A0102-V0100
CARD,PCSB00170,FIFA 13 (EN),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaA62383TzTHMM8TRyMAQ5DRDfP5rW+8X2uxqqxfN29Evd2bL1dEYH9wAAK1wEygA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00170/PCSB00170_T0/7536a1e0167c50dc/EP0006-PCSB00170_00-FIFAVITA20130001-A0101-V0100-a02dd2d3755af3b56e1a020f2d36a47f5ca048c4-PE.pkg,EP0006-PCSB00170_00-FIFAVITA20130001-A0101-V0100
CARD,PCSB00171,FIFA 13 (FR),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaG4Ist/N080xzDPE0cjAEOQ0Q3z+Y9wxRzNJ/owx01qHnUl626pHY3xwAwC38BKT,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00171/PCSB00171_T0/7a3bb7b2e4515c5b/EP0006-PCSB00171_00-FIFAVITA20130001-A0101-V0100-d47d2103819cffa7373939c9414e647754f24c8d-PE.pkg,EP0006-PCSB00171_00-FIFAVITA20130001-A0101-V0100
CARD,PCSB00172,FIFA 13 (IT),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaG4Est/N080xzDPE0cjAEOQ0Q3z+W59VNY3plLfRjftcccuZeBpGY3xwAwBgRRLz,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00172/PCSB00172_T0/3cf1f1022a879b29/EP0006-PCSB00172_00-FIFAVITA20130001-A0101-V0100-bd9e1576745b6b7426b124bba15991d617dc3038-PE.pkg,EP0006-PCSB00172_00-FIFAVITA20130001-A0101-V0100
CARD,PCSB00173,FIFA 13 (DE),EU,1.01,KO5ifR1dQ+e7BoAcBFVtaG4Mst/N080xzDPE0cjAEOQ0Q3z+O9y3s9ZqtsfFt6xlW82O+RiOxvjgBgB9pxQ5,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSB00173/PCSB00173_T0/9fcf467375516a96/EP0006-PCSB00173_00-FIFAVITA20130001-A0101-V0100-8cba5fc475643a8dd163aad1b5b490127b7178fc-PE.pkg,EP0006-PCSB00173_00-FIFAVITA20130001-A0101-V0100
