game_name,id,type,region,languages,title,year,month,day,rom_name
"Aquanaut's Holiday: Hidden Memories (Taiwan) (EN,KO,ZHCN)",BCAS20064,PS3,NTSC-A,"EN,KO,ZHCN",Aquanaut's Holiday: Hidden Memories,2008,11,20,"Aquanaut's Holiday: Hidden Memories (Taiwan) (EN,KO,ZHCN).iso"
SBK 08 : Superbike World Championship (Taiwan) (EN),BCAS20065,PS3,NTSC-A,EN,SBK 08 : Superbike World Championship,2008,12,9,SBK 08 : Superbike World Championship (Taiwan) (EN).iso
"Killzone 2 (Taiwan) (EN,ZHTW)",BCAS20066,PS3,NTSC-A,"EN,ZHTW",Killzone 2,2009,2,26,"Killzone 2 (Taiwan) (EN,ZHTW).iso"
Brain Challenge (Taiwan) (EN),BCAS20068,PS3,NTSC-A,EN,Brain Challenge,2008,12,5,Brain Challenge (Taiwan) (EN).iso
"PixelJunk 3-in-1 Pack (Taiwan) (EN,JA)",BCAS20070,PS3,NTSC-A,"EN,JA",PixelJunk 3-in-1 Pack,2009,3,31,"PixelJunk 3-in-1 Pack (Taiwan) (EN,JA).iso"
"Demon's Souls (Taiwan) (EN,ZHTW)",BCAS20071,PS3,NTSC-A,"EN,ZHTW",Demon's Souls,2009,2,26,"Demon's Souls (Taiwan) (EN,ZHTW).iso"
MLB 09 : The Show (Taiwan) (EN),BCAS20072,PS3,NTSC-A,EN,MLB 09 : The Show,2009,3,19,MLB 09 : The Show (Taiwan) (EN).iso
"The Last Guy (Taiwan) (EN,ZHTW)",BCAS20073,PS3,NTSC-A,"EN,ZHTW",The Last Guy,2009,5,28,"The Last Guy (Taiwan) (EN,ZHTW).iso"
"inFamous (Taiwan) (EN,ZHCN)",BCAS20074,PS3,NTSC-A,"EN,ZHCN",inFamous,2009,5,28,"inFamous (Taiwan) (EN,ZHCN).iso"
Agarest Senki Zero (Taiwan) (JA),BCAS20075,PS3,NTSC-A,JA,Agarest Senki Zero,2009,6,25,Agarest Senki Zero (Taiwan) (JA).iso
Rorona no Atelier: Arland no Renkinjutsushi (Taiwan) (JA),BCAS20076,PS3,NTSC-A,JA,Rorona no Atelier: Arland no Renkinjutsushi,2009,6,25,Rorona no Atelier: Arland no Renkinjutsushi (Taiwan) (JA).iso
