title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group,package_name,package_rap
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 2,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/SfrAIbTeKltHjnRYjKPCQtpoDuRCVUpOSKMowMOlPJeyNVwbSsAngMLQdyxzhpBo.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,SfrAIbTeKltHjnRYjKPCQtpoDuRCVUpOSKMowMOlPJeyNVwbSsAngMLQdyxzhpBo.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 2,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/TVjLuJwwLYTcFRAuCSKnfreToyilzDIUZhbmYzBNfgvGpsMoZarmvMBGrBsWzVcgbgBspRoeMJraxtchvbPCFMFLTrtwkqfQLSBpG.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,TVjLuJwwLYTcFRAuCSKnfreToyilzDIUZhbmYzBNfgvGpsMoZarmvMBGrBsWzVcgbgBspRoeMJraxtchvbPCFMFLTrtwkqfQLSBpG.pkg,
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 3,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/sVDbRNnVnZvRxZUECqGOsmfbOhnWrnEvuxgVDHLSwHpZyhtahjsAtTZWOLRdzzey.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,sVDbRNnVnZvRxZUECqGOsmfbOhnWrnEvuxgVDHLSwHpZyhtahjsAtTZWOLRdzzey.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 3,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/zBVcWLAGoNaXhSdpRALHdgMkeNeKeZXiWxUaZVWnkjfcyKSYkruUHwyXLuHWKfHwrnPpkxbncIrumJjuDLlEnSRuHCKezZfUSZlMK.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,zBVcWLAGoNaXhSdpRALHdgMkeNeKeZXiWxUaZVWnkjfcyKSYkruUHwyXLuHWKfHwrnPpkxbncIrumJjuDLlEnSRuHCKezZfUSZlMK.pkg,
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 4,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/IWEgrgRDMDTYTxKDHhYXVGrXBKDgGnghtpGdJfziDRhCJpQJcsRdJbcjyDmbdtkW.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,IWEgrgRDMDTYTxKDHhYXVGrXBKDgGnghtpGdJfziDRhCJpQJcsRdJbcjyDmbdtkW.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 4,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/MnQMRPhohAFXtsmFfWcDgBoCWVgPhdmeBhIHMjbjItRERBIuEGFxUVytBXvVjfeNJBthXDNSekwqfWFhnFKctUaNznXrRDDmOMGRP.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,MnQMRPhohAFXtsmFfWcDgBoCWVgPhdmeBhIHMjbjItRERBIuEGFxUVytBXvVjfeNJBthXDNSekwqfWFhnFKctUaNznXrRDDmOMGRP.pkg,
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 5,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/kQmKVcCbluftSihObFiIVOOySESHksFovdBOKCoAimzfjYmUYELZDIGGtSEiYqbQ.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,kQmKVcCbluftSihObFiIVOOySESHksFovdBOKCoAimzfjYmUYELZDIGGtSEiYqbQ.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 5,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/eZzcGnpalQzeJbgMNyBteCRfWEvWZfGJjUrnVilGxcGxmmHaAyJwQWzQZKeTBMmSSswfMAfSCHTgJihIlsCjubmmIrFqWWXZTzyim.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,eZzcGnpalQzeJbgMNyBteCRfWEvWZfGJjUrnVilGxcGxmmHaAyJwQWzQZKeTBMmSSswfMAfSCHTgJihIlsCjubmmIrFqWWXZTzyim.pkg,
BLES01393,Ace Combat - Assault Horizon - Compatibility Pack 6,COLLECTION,EU,http://ares.dl.playstation.net/cdn/EP0700/BLES01393_00/zOHwulLAlAZnrQoJQbSSqrweGnnORcLpnnoPWCkFAEGXbbNtxWpDrUrhjbVJYLEw.pkg,EP0700-BLES01393_00,YES,PS3,PSN,DLC,,,zOHwulLAlAZnrQoJQbSSqrweGnnORcLpnnoPWCkFAEGXbbNtxWpDrUrhjbVJYLEw.pkg,
BLUS30613,Ace Combat - Assault Horizon - Compatibility Pack 6,COLLECTION,US,http://ares.dl.playstation.net/cdn/UP0700/BLUS30613_00/wVKCtRWdeVCNdGsyLOgQNMMIWVVxIewfYhYTfXuCyPQMQYhlpVxquSCVDBoutRRqJdqVLLjBPicJGGJvzcAmHzFmGbCvhftGIPwoa.pkg,UP0700-BLUS30613_00,YES,PS3,PSN,DLC,,,wVKCtRWdeVCNdGsyLOgQNMMIWVVxIewfYhYTfXuCyPQMQYhlpVxquSCVDBoutRRqJdqVLLjBPicJGGJvzcAmHzFmGbCvhftGIPwoa.pkg,
