game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
Batman - Arkham Origins - Blackgate (USA) (Trial),01465,,Batman - Arkham Origins - Blackgate (USA) (Trial),UP1018-NPUB31441_00-CONSOLEBLACKGATE,EmJtmUVryEBdGNgxWBmXwVBEqshPLOiRUkDRroCISuVXPFkkJYJzUtMaszBzkvcG.pkg,2112695392,cc0a9a85,7a74626fde6a5f77496caf1568f51032,1fdf130a1e253a5ef274a6f2ede0f86f8f3658e1,
Batman - Arkham Origins - Blackgate (Europe) (Trial) (Alt),18770,,Batman - Arkham Origins - Blackgate (Europe) (Trial) (Alt),EP1018-NPEB01968_00-CONSOLEBLACKGATE,JvUiLaVCRoJQZkjuQjQySXfVOtKcbmpAQPtvBeOzUNqCWaYOtmhAlLdFTgpHxialUFckFWuPKCuFlZLjjvZMfRwnDlkjBxMuEZkYa.pkg,2114081856,e8211787,dfa71ff1eaf01376fea6cfa10900e011,c8aedbe7ca02e978a520941a9bb56c7c0c162e6c,
Batman - Arkham Origins - Blackgate (Europe) (Unlock Key),18854,,Batman - Arkham Origins - Blackgate (Europe) (Unlock Key),EP1018-NPEB01968_00-GAMEPURCHASE0001,QhQxBOpcEgcAWltYARNtkmHJYwzIrfqIHOEicXdFAhtLjKovtgLJzofRhCLlaTRt.pkg,6080,4c9a0eb1,65b820ce8841cf8d5280608a3dfbe4f8,2ec67af6997a0baed3150b964287d437b9684c0d,
Batman - Arkham Origins - Blackgate (Europe) (Unlock Key),18854,,Batman - Arkham Origins - Blackgate (Europe) (Unlock Key),EP1018-NPEB01968_00-GAMEPURCHASE0001,EP1018-NPEB01968_00-GAMEPURCHASE0001.rap,16,fc1a36b9,aeb56c3bca92b5796c49fcfc35251b45,4d2f914c50eabc9cb138c614fd5ed1e36612f583,
Batman - Arkham Origins - Blackgate - Deluxe Edition (USA) (Unlock Key),35654,,Batman - Arkham Origins - Blackgate - Deluxe Edition (USA) (Unlock Key),UP1018-NPUB31441_00-GAMEPURCHASE0001,ZeOzPhRlqXRUkpaujtEPxREDgKbOOnsKjvOMOMIUboAmVNuwEzeBmISPVpXivZIP.pkg,6080,20adfb20,64011cb00d321c80af0310cea9ef1992,ea277998a4ca8e22f9772995dd3c81da1e165de2,
Batman - The Telltale Series (USA),19413,,Batman - The Telltale Series (USA),UP2026-NPUB31845_00-BATM000000000EP1,UP2026-NPUB31845_00-BATM000000000EP1_bg_1_8e50e91b15d32f1f1905980ecb2f2b52fa7d4128.pkg,799410736,011a1dbd,cf19c79be24b7b6da20f50d5797d81f2,f69267fa7609e6534199e5b1cdaf8f6f85d06ebb,
Batman - The Telltale Series - Episode 1 - Realm of Shadows (Europe),29214,,Batman - The Telltale Series - Episode 1 - Realm of Shadows (Europe),EP2026-NPEB02426_00-BATM000000000EP1,EP2026-NPEB02426_00-BATM000000000EP1.rap,16,346adf98,ba95837c7bd08da9cb903096ae0c498e,ac5bff3a9078bde122de9c8971b44537ff9c09b1,
Batman - The Telltale Series - Episode 1 - Realm of Shadows (Europe),29214,,Batman - The Telltale Series - Episode 1 - Realm of Shadows (Europe),EP2026-NPEB02426_00-BATM000000000EP1,EP2026-NPEB02426_00-BATM000000000EP1_bg_1_186e6e22c380d055a3200fbdb29b559d42e5add8.pkg,799413312,581f265a,345d1abc0be59ea0284d4cc1ad7a2f51,8c03884163d61cdfd8c3d285958fb053747aa74b,
Battle - Los Angeles (USA),01475,,Battle - Los Angeles (USA),UP0101-NPUB30470_00-BTLAFULLGAME0000,kcaJbDPKOCCopmjZLQavGjQBYRACHDSCbDswAWIKkKcqJYcCrdtoSBDXybjgYWJTkEPbTXjcsDIdUZqyBzjHizMaBjolmdExqKUuq.pkg,1187684960,d2b463c9,fd75d4a3eeb21f2408412db1fd58c2b7,4dfb70b54ed2157b6fd46f0188306bcc63fef8de,
Battle - Los Angeles (USA),01475,,Battle - Los Angeles (USA),UP0101-NPUB30470_00-BTLAFULLGAME0000,UP0101-NPUB30470_00-BTLAFULLGAME0000.rap,16,2ea15851,aab099c60777ed6371b15b06921e23d8,f875ca0e3c19a6232365c8152a5e2030645a306b,
